"","UID","Chores","Hobbies","TV","Sports","Exercise"
"2989","94575393","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"2990","94575404","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"2991","94575425","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"2992","94575462","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"2993","94575463","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"2994","94575465","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"2995","94575471","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"2996","94575522","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"2997","94575622","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"2998","94575629","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times"
"2999","94575805","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times"
"3000","94575838","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"3001","94575868","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"3002","94575872","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times"
"3003","94575876","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(0) Not at all","(3) 5 or more times"
"3004","94575906","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"3005","94575907","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3006","94575919","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"3007","94575920","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times"
"3008","94575940","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3009","94575941","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"3010","94575942","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"3011","94575943","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"3012","94575945","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3013","94575946","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"3014","94575948","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"3015","94575955","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3016","94575963","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"3017","94575966","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3018","94575969","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"3019","94575985","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times"
"3020","94575989","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"3021","94575991","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"3022","94576007","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"3023","94576024","(1) 1 or 2 times","(0) Not at all","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times"
"3024","94576044","(0) Not at all","(0) Not at all","(0) Not at all","(3) 5 or more times","(3) 5 or more times"
"3025","94576085","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"3026","94576103","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"3027","94576105","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times"
"3028","94576154","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times"
"3029","94576216","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"3030","94576232","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3031","94576254","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"3032","94576263","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3033","94576281","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"3034","94576285","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"3035","94576292","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3036","94576344","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"3037","94576352","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"3038","94576357","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3039","94576395","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"3040","94576411","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"3041","94576432","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"3042","94576537","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times"
"3043","94576610","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"3044","94576615","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"3045","94576631","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"3046","94576646","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"3047","94576659","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3048","94576661","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"3049","94576685","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3050","94576706","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"3051","94576734","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3052","94576822","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3053","94576844","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"3054","94576943","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"3055","94576983","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"3056","94576985","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3057","94576986","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"3058","94577050","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all"
"3059","94577061","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"3060","94577082","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3061","94577084","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times"
"3062","94577122","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"3063","94577123","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"3064","94577128","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all"
"3065","94577129","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all"
"3066","94577163","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3067","94577168","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3068","94577181","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times"
"3069","94577222","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3070","94577226","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all"
"3071","94577229","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3072","94577264","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3073","94577361","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"3074","94577415","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"3075","94577452","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"3076","94577480","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3077","94577781","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"3078","94577921","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times"
"3079","94577923","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"3080","94577924","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3081","94577981","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"3082","94578088","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"3083","94578095","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3084","94578096","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all"
"3085","94578101","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times"
"3086","94578106","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all"
"3087","94578110","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"3088","94578117","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3089","94578127","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"3090","94578131","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times"
"3091","94578142","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"3092","94578149","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3093","94578189","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3094","94578194","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times"
"3095","94578218","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"3096","94578308","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times","(2) 3 or 4 times","(0) Not at all"
"3097","94578312","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times"
"3098","94578364","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"3099","94578383","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"3100","94578410","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3101","94578416","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(0) Not at all"
"3102","94578421","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3103","94578430","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"3104","94578490","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times","(0) Not at all"
"3105","94578501","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"3106","94578527","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"3107","94578571","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3108","94578587","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times"
"3109","94578600","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"3110","94578643","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3111","94578739","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(2) 3 or 4 times"
"3112","94578780","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"3113","94578804","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3114","94578813","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3115","94578874","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(0) Not at all","(1) 1 or 2 times"
"3116","94578881","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3117","94578890","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3118","94578891","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times","(1) 1 or 2 times"
"3119","94578899","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"3120","94578908","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"3121","94578910","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3122","94578921","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"3123","94578943","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(0) Not at all"
"3124","94578966","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"3125","94578984","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"3126","94579174","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(3) 5 or more times"
"3127","94579176","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times"
"3128","94579179","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times"
"3129","94579231","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"3130","94579232","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"3131","94579237","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3132","94579262","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times"
"3133","94579290","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"3134","94579291","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"3135","94579292","(0) Not at all","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(2) 3 or 4 times"
"3136","94579294","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"3137","94579295","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3138","94579296","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"3139","94579299","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3140","94579374","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"3141","94579375","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3142","94579930","(0) Not at all","(0) Not at all","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times"
"3143","94579939","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3144","94579941","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"3145","94579944","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3146","94579945","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3147","94579946","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"3148","94579951","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3149","94579962","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"3150","94579968","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"3151","94579974","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3152","94579979","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"3153","94579991","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"3154","94579997","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"3155","94579998","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"3156","94579999","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3157","94590253","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3158","94590955","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times"
"3159","94593905","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3160","94614276","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"3161","94614472","(0) Not at all","(0) Not at all","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"3162","94614679","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"3163","94614976","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3164","94619063","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times"
"3165","94619162","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times"
"3166","94619167","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3167","94619262","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"3168","94619266","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times","(0) Not at all"
"3169","94619369","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all"
"3170","94619466","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
"3171","94619467","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"3172","94619469","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"3173","94619867","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times"
"3174","94619869","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3175","94619963","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(3) 5 or more times"
"3176","94619964","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times"
"3177","94636352","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(1) 1 or 2 times"
"3178","94636354","(1) 1 or 2 times","(0) Not at all","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times"
"3179","94676322","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"3180","94676422","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(0) Not at all","(0) Not at all"
"3181","94676623","(2) 3 or 4 times","(1) 1 or 2 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"3182","94676728","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times"
"3183","94676929","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3184","94678273","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"3185","94678274","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"3186","94678379","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3187","94710033","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"3188","94710139","(3) 5 or more times","(2) 3 or 4 times","(0) Not at all","(1) 1 or 2 times","(2) 3 or 4 times"
"3189","94710188","(3) 5 or more times","(0) Not at all","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3190","94710238","(3) 5 or more times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"3191","94710239","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"3192","94710376","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(1) 1 or 2 times","(0) Not at all"
"3193","94710389","(2) 3 or 4 times","(1) 1 or 2 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times"
"3194","94710390","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times"
"3195","94710392","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times"
"3196","94710450","(1) 1 or 2 times","(1) 1 or 2 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3197","94710871","(1) 1 or 2 times","(0) Not at all","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"3198","94710883","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3199","94710937","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(0) Not at all","(2) 3 or 4 times"
"3200","94710974","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times","(1) 1 or 2 times","(2) 3 or 4 times"
"3201","94710989","(2) 3 or 4 times","(0) Not at all","(3) 5 or more times","(0) Not at all","(0) Not at all"
"3202","94710994","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times"
"3203","94710998","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(1) 1 or 2 times","(2) 3 or 4 times"
"3204","94710999","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"3205","94711065","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(2) 3 or 4 times","(1) 1 or 2 times"
"3206","94711066","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times"
"3207","94711162","(1) 1 or 2 times","(2) 3 or 4 times","(3) 5 or more times","(0) Not at all","(1) 1 or 2 times"
"3208","94711176","(3) 5 or more times","(2) 3 or 4 times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times"
"3209","94711177","(0) Not at all","(2) 3 or 4 times","(3) 5 or more times","(2) 3 or 4 times","(1) 1 or 2 times"
"3210","94711261","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(3) 5 or more times","(1) 1 or 2 times"
